ID_Jogo,Data,Fase,Grupo,Equipe_Mandante,Equipe_Visitante,Resultado,Chutes_Art,Chutes_Cu,Chutes_Feto,Chutes_MC,Chutes_HC
43,2026-06-22,Fase de Grupos - Rodada 2,J,Argentina,Áustria,,,,,,
44,2026-06-22,Fase de Grupos - Rodada 2,J,Jordânia,Argélia,,,,,,
45,2026-06-23,Fase de Grupos - Rodada 2,K,Portugal,Uzbequistão,,,,,,
46,2026-06-23,Fase de Grupos - Rodada 2,K,Colômbia,RD Congo,,,,,,
47,2026-06-23,Fase de Grupos - Rodada 2,L,Inglaterra,Gana,,,,,,
48,2026-06-23,Fase de Grupos - Rodada 2,L,Panamá,Croácia,,,,,,
49,2026-06-24,Fase de Grupos - Rodada 3,A,Tchéquia,México,,,,,,
50,2026-06-24,Fase de Grupos - Rodada 3,A,África do Sul,Coréia do Sul,,,,,,
51,2026-06-24,Fase de Grupos - Rodada 3,B,Suíça,Canadá,,,,,,
52,2026-06-24,Fase de Grupos - Rodada 3,B,Bósnia e Herzegovina,Catar,,,,,,
53,2026-06-24,Fase de Grupos - Rodada 3,C,Escócia,Brasil,,,,,,
54,2026-06-24,Fase de Grupos - Rodada 3,C,Marrocos,Haiti,,,,,,
55,2026-06-25,Fase de Grupos - Rodada 3,D,Turquia,EUA,,,,,,
56,2026-06-25,Fase de Grupos - Rodada 3,D,Paraguai,Austrália,,,,,,
57,2026-06-25,Fase de Grupos - Rodada 3,E,Equador,Alemanha,,,,,,
58,2026-06-25,Fase de Grupos - Rodada 3,E,Curação,Costa do Marfim,,,,,,
59,2026-06-25,Fase de Grupos - Rodada 3,F,Japão,Suécia,,,,,,
60,2026-06-25,Fase de Grupos - Rodada 3,F,Tunísia,Holanda,,,,,,
61,2026-06-26,Fase de Grupos - Rodada 3,G,Nova Zelândia,Bélgica,,,,,,
62,2026-06-26,Fase de Grupos - Rodada 3,G,Egito,Irã,,,,,,
63,2026-06-26,Fase de Grupos - Rodada 3,H,Uruguai,Espanha,,,,,,
64,2026-06-26,Fase de Grupos - Rodada 3,H,Cabo Verde,Arábia Saudita,,,,,,
65,2026-06-26,Fase de Grupos - Rodada 3,I,Noruega,França,,,,,,
66,2026-06-26,Fase de Grupos - Rodada 3,I,Senegal,Iraque,,,,,,
67,2026-06-27,Fase de Grupos - Rodada 3,J,Jordânia,Argentina,,,,,,
68,2026-06-27,Fase de Grupos - Rodada 3,J,Argélia,Áustria,,,,,,
69,2026-06-27,Fase de Grupos - Rodada 3,K,Colômbia,Portugal,,,,,,
70,2026-06-27,Fase de Grupos - Rodada 3,K,RD Congo,Uzbequistão,,,,,,
71,2026-06-27,Fase de Grupos - Rodada 3,L,Panamá,Inglaterra,,,,,,
72,2026-06-27,Fase de Grupos - Rodada 3,L,Croácia,Gana,,,,,,
73,2026-06-28,16-avos de Final,-,1º Grupo A,3º Grupo C/D/E,,,,,,
74,2026-06-28,16-avos de Final,-,2º Grupo B,2º Grupo F,,,,,,
75,2026-06-29,16-avos de Final,-,1º Grupo C,3º Grupo A/B/F,,,,,,
76,2026-06-29,16-avos de Final,-,1º Grupo F,2º Grupo C,,,,,,
77,2026-06-29,16-avos de Final,-,1º Grupo E,3º Grupo A/B/C/D,,,,,,
78,2026-06-30,16-avos de Final,-,1º Grupo D,3º Grupo B/E/F,,,,,,
79,2026-06-30,16-avos de Final,-,2º Grupo A,2º Grupo E,,,,,,
80,2026-06-30,16-avos de Final,-,1º Grupo B,3º Grupo A/C/D/F,,,,,,
81,2026-07-01,16-avos de Final,-,1º Grupo G,3º Grupo I/J/K,,,,,,
82,2026-07-01,16-avos de Final,-,2º Grupo H,2º Grupo L,,,,,,
83,2026-07-02,16-avos de Final,-,1º Grupo I,3º Grupo G/H/L,,,,,,
84,2026-07-02,16-avos de Final,-,1º Grupo L,2º Grupo I,,,,,,
85,2026-07-02,16-avos de Final,-,1º Grupo K,3º Grupo G/H/I/J,,,,,,
86,2026-07-03,16-avos de Final,-,1º Grupo J,3º Grupo H/K/L,,,,,,
87,2026-07-03,16-avos de Final,-,2º Grupo G,2º Grupo K,,,,,,
88,2026-07-03,16-avos de Final,-,1º Grupo H,3º Grupo G/I/J/L,,,,,,
89,2026-07-04,Oitavas de Final,-,Vencedor Jogo 73,Vencedor Jogo 74,,,,,,
90,2026-07-04,Oitavas de Final,-,Vencedor Jogo 75,Vencedor Jogo 76,,,,,,
91,2026-07-05,Oitavas de Final,-,Vencedor Jogo 77,Vencedor Jogo 78,,,,,,
92,2026-07-05,Oitavas de Final,-,Vencedor Jogo 79,Vencedor Jogo 80,,,,,,
93,2026-07-06,Oitavas de Final,-,Vencedor Jogo 81,Vencedor Jogo 82,,,,,,
94,2026-07-06,Oitavas de Final,-,Vencedor Jogo 83,Vencedor Jogo 84,,,,,,
95,2026-07-07,Oitavas de Final,-,Vencedor Jogo 85,Vencedor Jogo 86,,,,,,
96,2026-07-07,Oitavas de Final,-,Vencedor Jogo 87,Vencedor Jogo 88,,,,,,
97,2026-07-09,Quartas de Final,-,Vencedor Jogo 89,Vencedor Jogo 90,,,,,,
98,2026-07-10,Quartas de Final,-,Vencedor Jogo 91,Vencedor Jogo 92,,,,,,
99,2026-07-11,Quartas de Final,-,Vencedor Jogo 93,Vencedor Jogo 94,,,,,,
100,2026-07-11,Quartas de Final,-,Vencedor Jogo 95,Vencedor Jogo 96,,,,,,
101,2026-07-14,Semifinal,-,Vencedor Jogo 97,Vencedor Jogo 98,,,,,,
102,2026-07-15,Semifinal,-,Vencedor Jogo 99,Vencedor Jogo 100,,,,,,
103,2026-07-18,Disputa do 3o Lugar,-,Perdedor Jogo 101,Perdedor Jogo 102,,,,,,
104,2026-07-19,Final,-,Vencedor Jogo 101,Vencedor Jogo 102,,,,,,
